date|useribpt|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
08/17/2019|691786|16924|49247|0|0|1371|0|0|0|1612|42704|0|0|0|0|8639103048.00|0.00|304606700770.00|991234455346.00|0.00|111858|1304480259164.00|0|0|AUG2019|2019-08
08/18/2019|691785|13244|50987|0|0|1533|0|0|0|1019|27212|0|0|0|0|9761470212.00|0.00|219845043898.00|691912719942.00|0.00|93995|921519234052.00|0|0|AUG2019|2019-08
08/19/2019|692139|120252|484875|0|0|21127|0|0|0|15889|199666|29526|0|0|0|637149242119.00|0.00|8664270071240.00|10551949340347.00|11465329181130.00|871335|31318697834836.00|0|0|AUG2019|2019-08
08/20/2019|692575|115652|442946|0|0|20211|0|0|0|15928|213412|29534|0|0|0|518222132684.00|0.00|8321359728906.00|10755962742778.00|12530029023850.00|837683|32125573628218.00|0|0|AUG2019|2019-08
08/21/2019|693035|107829|410540|0|0|7352|0|0|0|14775|188154|27207|0|0|0|227527447363.00|0.00|7116904342079.00|9275455169223.00|9468981572044.00|755857|26088868530709.00|0|0|AUG2019|2019-08
08/22/2019|693444|107412|405517|0|0|7302|0|0|0|14611|190597|27694|0|0|0|387299740000.00|0.00|6650462355194.00|9413985492112.00|8961767720332.00|753133|25413515307638.00|0|0|AUG2019|2019-08
08/23/2019|693923|118047|427667|0|0|6770|0|0|0|16276|242817|35761|0|0|0|316814425891.00|0.00|8009916301597.00|11829885728441.00|10679856346877.00|847338|30836472802806.00|0|0|AUG2019|2019-08
08/24/2019|693921|37655|156287|0|0|1432|0|0|0|3462|97465|0|0|0|0|29841045434.00|0.00|408382688766.00|2269978501736.00|0.00|296301|2708202235936.00|0|0|AUG2019|2019-08
08/25/2019|693919|14469|53212|0|0|403|0|0|0|1143|37568|0|0|0|0|7323247739.00|0.00|116322090340.00|774253766312.00|0.00|106795|897899104391.00|0|0|AUG2019|2019-08
08/26/2019|694410|127492|517069|0|0|7477|0|0|0|17931|229741|35550|0|0|0|455069105672.00|0.00|9591553500374.00|12404153719972.00|13251927146019.00|935260|35702703472037.00|0|0|AUG2019|2019-08
08/27/2019|694808|120580|466611|0|0|7733|0|0|0|16641|222106|30665|0|0|0|443067510772.00|0.00|8765714818379.00|11338984167012.00|11203872887540.00|864336|31751639383703.00|0|0|AUG2019|2019-08
08/28/2019|695306|116162|439007|0|0|7382|0|0|0|15775|228147|30729|0|0|0|508139900975.00|0.00|7664295066989.00|10411226626948.00|11761685733476.00|837202|30345347328388.00|0|0|AUG2019|2019-08
08/29/2019|695742|116404|440684|0|0|8444|0|0|0|15325|217764|31062|0|0|0|742564575135.00|0.00|7411606854062.00|10843458437403.00|10838197509107.00|829683|29835827375707.00|0|0|AUG2019|2019-08
08/30/2019|696074|130965|469531|0|0|9575|0|0|0|17614|307379|40969|0|0|0|648750702106.00|0.00|8383709435779.00|12658534938947.00|13215404569620.00|976033|34906399646452.00|0|0|AUG2019|2019-08
08/31/2019|696076|45596|230590|0|0|1931|0|0|0|4555|165887|0|0|0|0|55513364529.00|0.00|395511201620.00|2808738303626.00|0.00|448559|3259762869775.00|0|0|AUG2019|2019-08
09/01/2019|696075|18739|78359|0|0|995|0|0|0|1955|64492|0|0|0|0|4958134677.00|0.00|312180556360.00|1189540606157.00|0.00|164540|1506679297194.00|0|0|SEP2019|2019-09
09/02/2019|696558|133503|642765|0|0|9425|0|0|0|18517|252730|37856|0|0|0|334276242688.00|0.00|8478989562476.00|11586964566204.00|12713922608695.00|1094796|33114152980063.00|0|0|SEP2019|2019-09
09/03/2019|697094|118937|460806|0|0|12241|0|0|0|15540|223044|29672|0|0|0|292291027526.00|0.00|7511994425292.00|11370836328384.00|11119076270410.00|860240|30294198051612.00|0|0|SEP2019|2019-09
09/04/2019|697553|111439|401007|0|0|13379|0|0|0|15059|203255|27604|0|0|0|229541262747.00|0.00|6487019964209.00|9514301022713.00|9211685289448.00|771743|25442547539117.00|0|0|SEP2019|2019-09
09/05/2019|697980|114885|406113|0|0|20172|0|0|0|15335|226980|29855|0|0|0|394477481417.00|0.00|7004810903731.00|9585891579423.00|10952064924922.00|813340|27937244889493.00|0|0|SEP2019|2019-09
09/06/2019|698523|120004|417381|0|0|22804|0|0|0|15951|241380|35116|0|0|0|407174735201.00|0.00|7505117625503.00|10739854533399.00|11295110388605.00|852636|29947257282708.00|0|0|SEP2019|2019-09
09/07/2019|698524|38222|153330|0|0|4414|0|0|0|3329|99700|0|0|0|0|36213436714.00|0.00|378411333740.00|2149193587594.00|0.00|298995|2563818358048.00|0|0|SEP2019|2019-09
09/08/2019|698519|14674|56261|0|0|1303|0|0|0|1070|32937|0|0|0|0|5821722168.00|0.00|351679289112.00|954700682566.00|0.00|106245|1312201693846.00|0|0|SEP2019|2019-09
09/09/2019|698912|127462|489158|0|0|41938|0|0|0|17239|217670|34940|0|0|0|860455070050.00|0.00|8682414243186.00|11162993840222.00|13027216306988.00|928407|33733079460446.00|0|0|SEP2019|2019-09
09/10/2019|699408|124276|466059|0|0|49943|0|0|0|16550|233064|33426|0|0|0|1120257955000.00|0.00|8262327368901.00|11289725374822.00|10951477310523.00|923318|31623788009246.00|0|0|SEP2019|2019-09
09/11/2019|699910|110311|417438|0|0|14544|0|0|0|15267|197513|28708|0|0|0|291242218266.00|0.00|6996482205270.00|9910846975197.00|9102981100290.00|783781|26301552499023.00|0|0|SEP2019|2019-09
09/12/2019|700368|109669|408054|0|0|13732|0|0|0|14430|196618|28782|0|0|0|395826991474.00|0.00|6517493579947.00|9176537196926.00|8274123743175.00|771285|24363981511522.00|0|0|SEP2019|2019-09
09/13/2019|700837|118584|433872|0|0|16997|0|0|0|15780|236938|35670|0|0|0|509662801412.00|0.00|7174752430098.00|11034925623803.00|10524288194677.00|857841|29243629049990.00|0|0|SEP2019|2019-09
09/14/2019|700834|39169|156609|0|0|3531|0|0|0|3457|93143|0|0|0|0|43045087750.00|0.00|359827114084.00|2018255401984.00|0.00|295909|2421127603818.00|0|0|SEP2019|2019-09
09/15/2019|700830|15135|55794|0|0|3097|0|0|0|1255|37325|0|0|0|0|22926959447.00|0.00|256656725932.00|903340784541.00|0.00|112606|1182924469920.00|0|0|SEP2019|2019-09
09/16/2019|691703|126419|509008|0|0|16612|0|0|0|17741|221446|35870|0|0|0|367624655101.00|0.00|8990163490136.00|11873935117804.00|11945383142985.00|927096|33177106406026.00|0|0|SEP2019|2019-09
09/17/2019|659363|112646|448591|0|0|14320|0|0|0|15590|203553|30109|0|0|0|308315228113.00|0.00|6866118687906.00|10470624975021.00|11924569601302.00|824809|29569628492342.00|0|0|SEP2019|2019-09
09/18/2019|642711|109514|416966|0|0|15248|0|0|0|14854|188360|28136|0|0|0|363165255392.00|0.00|6762453481894.00|9282187482354.00|8686493589580.00|773078|25094299809220.00|0|0|SEP2019|2019-09
09/19/2019|599631|108608|411932|0|0|16556|0|0|0|14761|192026|28594|0|0|0|541712580915.00|0.00|7449256978581.00|10176026565027.00|8830783086513.00|772477|26997779211036.00|0|0|SEP2019|2019-09
09/20/2019|564334|120084|439895|0|0|19216|0|0|0|16596|241239|35564|0|0|0|473162186534.00|0.00|9082768309398.00|12479265579791.00|11630700166525.00|872594|33665896242248.00|0|0|SEP2019|2019-09
09/21/2019|564340|38724|164984|0|0|3152|0|0|0|3288|94925|0|0|0|0|29198979193.00|0.00|386798014565.00|2069592750280.00|0.00|305073|2485589744038.00|0|0|SEP2019|2019-09
09/22/2019|564335|15079|58746|0|0|663|0|0|0|1080|31699|0|0|0|0|3668699547.00|0.00|207156192012.00|827369505259.00|0.00|107267|1038194396818.00|0|0|SEP2019|2019-09
09/23/2019|558754|124353|501633|0|0|8052|0|0|0|17539|205891|33300|0|0|0|388389824668.00|0.00|12221772833716.00|11827250910578.00|12969117916243.00|890768|37406531485205.00|0|0|SEP2019|2019-09
09/24/2019|559164|117594|458717|0|0|8651|0|0|0|15886|206006|30621|0|0|0|351207608336.00|0.00|8148084369574.00|11506664792339.00|11042163453286.00|837475|31048120223535.00|0|0|SEP2019|2019-09
09/25/2019|559662|120038|445639|0|0|8469|0|0|0|16263|237657|33386|0|0|0|649580319523.00|0.00|8523764893459.00|10271365974448.00|9239251371644.00|861452|28683962559074.00|0|0|SEP2019|2019-09
09/26/2019|560113|115858|438976|0|0|8712|0|0|0|15804|213260|30781|0|0|0|560196687991.00|0.00|8946202416191.00|10207254112313.00|10462272166263.00|823391|30175925382758.00|0|0|SEP2019|2019-09
09/27/2019|560510|128841|471831|0|0|9715|0|0|0|17955|280271|40162|0|0|0|802222562052.00|0.00|8834447636067.00|12982945898625.00|12160297906479.00|948775|34779914003223.00|0|0|SEP2019|2019-09
09/28/2019|559802|42771|178647|0|0|2966|0|0|0|3750|126706|0|0|0|0|66917709938.00|0.00|361010903092.00|2387686396105.00|0.00|354840|2815615009135.00|0|0|SEP2019|2019-09
09/29/2019|559797|17213|67061|0|0|965|0|0|0|1318|41907|0|0|0|0|6385144100.00|0.00|326983931738.00|893700879800.00|0.00|128464|1227069955638.00|0|0|SEP2019|2019-09
09/30/2019|560140|152954|626237|0|0|11154|0|0|0|21638|348609|45831|0|0|0|909916190571.00|0.00|11350964383992.00|14895702268801.00|17842478901491.00|1206423|44999061744855.00|0|0|SEP2019|2019-09
10/01/2019|560557|130818|697510|0|0|8276|0|0|0|17538|305401|35211|0|0|0|254914719676.00|0.00|8505172846366.00|12041631389357.00|12686114136728.00|1194754|33487833092127.00|0|0|OCT2019|2019-10
10/02/2019|559843|117419|445449|0|0|11384|0|0|0|15466|223769|30238|0|0|0|253250543782.00|0.00|7706678180809.00|9919641778593.00|9722023609360.00|843725|27601594112544.00|0|0|OCT2019|2019-10
10/03/2019|560230|115116|411165|0|0|14090|0|0|0|14949|212880|29048|0|0|0|294469243339.00|0.00|6873407497411.00|9877984944840.00|9096334447115.00|797248|26142196132705.00|0|0|OCT2019|2019-10
10/04/2019|560738|122389|417652|0|0|16412|0|0|0|15938|254598|35909|0|0|0|310717290334.00|0.00|8205756943665.00|11161784561255.00|11206196615275.00|862898|30884455410529.00|0|0|OCT2019|2019-10
10/05/2019|560623|40183|164075|0|0|4234|0|0|0|3664|116679|0|0|0|0|33144957954.00|0.00|411105415071.00|2154306653990.00|0.00|328835|2598557027015.00|0|0|OCT2019|2019-10
10/06/2019|560625|15261|61875|0|0|1036|0|0|0|1284|33786|0|0|0|0|10346688965.00|0.00|284561708796.00|741356855760.00|0.00|113242|1036265253521.00|0|0|OCT2019|2019-10
