jnstrans|date|txn|idr|bln|mth
PLUS - INTERNATIONAL|01/23/2019|2334|2632200000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/23/2019|2309|2987250000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/23/2019|485|431400000|JAN2019|2019-01
VISA - LOCAL|01/24/2019|32|33100000|JAN2019|2019-01
VISA - INTERNATIONAL|01/24/2019|1145|1327350000|JAN2019|2019-01
PLUS - LOCAL|01/24/2019|160|124250000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/24/2019|2227|2621500000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/24/2019|2279|3100950000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/24/2019|460|371100000|JAN2019|2019-01
VISA - LOCAL|01/25/2019|47|51300000|JAN2019|2019-01
VISA - INTERNATIONAL|01/25/2019|1260|1497600000|JAN2019|2019-01
PLUS - LOCAL|01/25/2019|154|146950000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/25/2019|2220|2674950000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/25/2019|2255|2906050000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/25/2019|424|412050000|JAN2019|2019-01
VISA - LOCAL|01/26/2019|43|51550000|JAN2019|2019-01
VISA - INTERNATIONAL|01/26/2019|1256|1383450000|JAN2019|2019-01
PLUS - LOCAL|01/26/2019|142|147700000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/26/2019|2260|2735350000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/26/2019|2257|2791050000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/26/2019|475|485750000|JAN2019|2019-01
VISA - LOCAL|01/27/2019|31|27650000|JAN2019|2019-01
VISA - INTERNATIONAL|01/27/2019|1164|1262650000|JAN2019|2019-01
PLUS - LOCAL|01/27/2019|125|104150000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/27/2019|2012|2279200000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/27/2019|2046|2424050000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/27/2019|367|304700000|JAN2019|2019-01
VISA - LOCAL|01/28/2019|41|47700000|JAN2019|2019-01
VISA - INTERNATIONAL|01/28/2019|1373|1586400000|JAN2019|2019-01
PLUS - LOCAL|01/28/2019|186|190800000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/28/2019|2278|2923750000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/28/2019|6648|8257100000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/28/2019|1315|1259950000|JAN2019|2019-01
VISA - LOCAL|01/29/2019|53|59200000|JAN2019|2019-01
VISA - INTERNATIONAL|01/29/2019|1291|1456200000|JAN2019|2019-01
PLUS - LOCAL|01/29/2019|170|169350000|JAN2019|2019-01
PLUS - INTERNATIONAL|01/29/2019|2325|2917500000|JAN2019|2019-01
CIRRUS MASTER NON ISIS|01/29/2019|2430|3097200000|JAN2019|2019-01
CIRRUS MASTER ISIS|01/29/2019|474|524900000|JAN2019|2019-01
VISA - LOCAL|01/30/2019|34|38600000|JAN2019|2019-01
