date|usermb|balance|mutasi|registrasi|aktivasi|payment|login|purchase|transfer|ownacc|otheracc|domesticbank|transferidr|transfersgd|transferusd|paymentidr|purchaseidr|ownaccidr|otheraccidr|domesticbankidr|totaltxn|totalidr|totalsgd|totalusd|bln|mth
06/21/2019|17765990|4282453|743203|0|21397|203382|0|190732|3060940|0|0|0|5.386124E12|1877|93400|202995374676.00|12483411000.00|0.00|0.00|0.00|8480710|5601602753994.00|1877|93400|JUN2019|2019-06
06/22/2019|17769445|3868912|677709|0|5537|141937|0|177776|2786628|0|0|0|4.1054717E12|1500|8770|141682535568.00|11562313000.00|0.00|0.00|0.00|7652962|4258716579660.00|1500|8770|JUN2019|2019-06
06/23/2019|17771823|3179395|495370|0|3841|120926|0|158472|2315303|0|0|0|2.6879159E12|0|17483|99024949797.00|10513795000.00|0.00|0.00|0.00|6269466|2797454610860.00|0|17483|JUN2019|2019-06
06/24/2019|17793299|4481865|753022|0|24330|159062|0|188257|3061764|0|0|0|5.7302454E12|6800|51004|192706332539.00|12132036000.00|0.00|0.00|0.00|8643970|5935083784706.00|6800|51004|JUN2019|2019-06
06/25/2019|17813986|5665565|999688|0|24247|229231|0|204236|3622835|0|0|0|6.389888E12|320|61962|284511692803.00|13305856000.00|0.00|0.00|0.00|10721555|6687705535734.00|320|61962|JUN2019|2019-06
06/26/2019|17834277|4970268|856659|0|23785|190392|0|199195|3618335|0|0|0|6.1925761E12|7115|26985|237447533884.00|13033300500.00|0.00|0.00|0.00|9834849|6443056945890.00|7115|26985|JUN2019|2019-06
06/27/2019|17853780|5117142|874707|0|23520|184538|0|197030|3477118|0|0|0|5.9745446E12|20|31310|218937955587.00|12989714500.00|0.00|0.00|0.00|9850535|6206472228760.00|20|31310|JUN2019|2019-06
06/28/2019|17875611|6882020|1239197|0|26497|233243|0|220585|4246170|0|0|0|7.1153395E12|4450|52109|277328493355.00|14556700500.00|0.00|0.00|0.00|12821215|7407224715077.00|4450|52109|JUN2019|2019-06
06/29/2019|17879196|5147291|909327|0|6316|172997|0|206035|3629621|0|0|0|5.371007E12|268|18845|158016531589.00|13586956500.00|0.00|0.00|0.00|10065271|5542610462911.00|268|18845|JUN2019|2019-06
06/30/2019|17882510|4093277|687216|0|5193|162604|0|184029|2959204|0|0|0|3.5658664E12|1227|22410|129252668759.00|12300582500.00|0.00|0.00|0.00|8086330|3707419700134.00|1227|22410|JUN2019|2019-06
07/01/2019|17906859|6153249|1132099|0|27886|237578|0|218927|3960908|0|0|0|7.2153655E12|9042|47187|267246012721.00|14390762500.00|0.00|0.00|0.00|11702761|7497002273491.00|9042|47187|JUL2019|2019-07
07/02/2019|17931226|5478613|978768|0|28315|224270|0|208691|3822227|0|0|0|6.7718109E12|4660|31840|257545649067.00|13532615000.00|0.00|0.00|0.00|10712569|7042889173212.00|4660|31840|JUL2019|2019-07
07/03/2019|17953942|5076316|912137|0|26580|215590|0|211158|3595464|0|0|0|6.1622161E12|4078|48606|220977299877.00|13841011500.00|0.00|0.00|0.00|10010665|6397034409647.00|4078|48606|JUL2019|2019-07
07/04/2019|17974779|4902484|851624|0|24611|186818|0|194335|3242763|0|0|0|5.8739381E12|2423|36291|202420339761.00|12680842000.00|0.00|0.00|0.00|9378024|6089039233602.00|2423|36291|JUL2019|2019-07
07/05/2019|17995248|5095659|906168|0|24347|200676|0|196344|3610930|0|0|0|6.2109522E12|12030|57875|200844873342.00|12762010000.00|0.00|0.00|0.00|10009777|6424559099505.00|12030|57875|JUL2019|2019-07
07/06/2019|17998955|4201458|698875|0|6108|175237|0|186676|3206459|0|0|0|4.7911324E12|4750|60201|143907492715.00|12164716500.00|0.00|0.00|0.00|8468705|4947204587402.00|4750|60201|JUL2019|2019-07
07/07/2019|18001583|3555743|562304|0|4310|147972|0|164865|2695954|0|0|0|3.0238604E12|10900|47456|100428584668.00|10929431000.00|0.00|0.00|0.00|7126838|3135218418233.00|10900|47456|JUL2019|2019-07
07/08/2019|18024963|4799905|835796|0|26529|185467|0|193536|3428881|0|0|0|6.2445973E12|11910|50092|183967150359.00|12339729000.00|0.00|0.00|0.00|9443585|6440904145856.00|11910|50092|JUL2019|2019-07
07/09/2019|18046402|4650140|801386|0|25029|179751|0|194008|3286768|0|0|0|5.9098549E12|12980|32772|183524127133.00|12782350500.00|0.00|0.00|0.00|9112053|6106161384499.00|12980|32772|JUL2019|2019-07
07/10/2019|18066140|4742264|830327|0|23312|189482|0|191200|3397741|0|0|0|5.8781153E12|6027|28506|173845617361.00|12286143000.00|0.00|0.00|0.00|9351014|6064247042047.00|6027|28506|JUL2019|2019-07
07/11/2019|18085931|4518993|778377|0|23340|173766|0|188700|3268772|0|0|0|5.7114078E12|6570|70131|161898936857.00|12264841000.00|0.00|0.00|0.00|8928608|5885571603933.00|6570|70131|JUL2019|2019-07
07/12/2019|18105091|4599732|783566|0|22452|157398|0|187284|3334879|0|0|0|5.8232792E12|9275|57607|144411006256.00|12166805500.00|0.00|0.00|0.00|9062859|5979857012897.00|9275|57607|JUL2019|2019-07
07/13/2019|18108792|4108490|673669|0|5990|133135|0|177266|3093546|0|0|0|4.7114156E12|570|38208|104901107724.00|11494419000.00|0.00|0.00|0.00|8186106|4827811100647.00|570|38208|JUL2019|2019-07
