jnstrans|date|tunai|cashadv|ceksaldo|payment|berhasil|seluruh|Ntunai|Ncashadv|Nceksaldo|Npayment|Nberhasil|Nseluruh|bln|mth
TRANSAKSI ATM DAN ATMKIOS BCA|03/27/2019|0|0|28496|5772|34268|35354|0|0|0|14920954533.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/28/2019|0|0|32308|6140|38448|39803|0|0|0|18926988560.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/29/2019|0|0|37704|6626|44330|45873|0|0|0|17626857909.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/30/2019|0|0|26996|4140|31136|32116|0|0|0|9977370672.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|03/31/2019|0|0|18065|3239|21304|21988|0|0|0|6179851696.00|0.00|0.00|MAR2019|2019-03
TRANSAKSI ATM DAN ATMKIOS BCA|04/01/2019|0|0|39208|9302|48510|50224|0|0|0|25696905091.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/02/2019|0|0|33206|8060|41266|42622|0|0|0|25258639768.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/03/2019|0|0|19006|4252|23258|24028|0|0|0|8517896024.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/04/2019|0|0|31642|9390|41032|42342|0|0|0|19731791526.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/05/2019|0|0|32429|9522|41951|43499|0|0|0|17857635216.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/06/2019|0|0|22434|4948|27382|28314|0|0|0|7507576664.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/07/2019|0|0|14385|3691|18076|18699|0|0|0|5434863300.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/08/2019|0|0|32176|10024|42200|43599|0|0|0|18550963567.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/09/2019|0|0|28351|7987|36338|37507|0|0|0|15381980403.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/10/2019|0|0|27590|8378|35968|37170|0|0|0|13958129037.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/11/2019|0|0|24785|6279|31064|32226|0|0|0|11694670905.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/12/2019|0|0|25399|6341|31740|32845|0|0|0|14309991519.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/13/2019|0|0|18333|3188|21521|22284|0|0|0|5071272377.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/14/2019|0|0|12977|2732|15709|16260|0|0|0|4420647046.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/15/2019|0|0|28708|7799|36507|37805|0|0|0|19579770731.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/16/2019|0|0|26028|6932|32960|34098|0|0|0|16335584980.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/17/2019|0|0|11218|2514|13732|14196|0|0|0|5259476933.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/18/2019|0|0|24825|7961|32786|33829|0|0|0|19314909868.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/19/2019|0|0|14380|4114|18494|19116|0|0|0|8960077006.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/20/2019|0|0|20667|7934|28601|29558|0|0|0|19563740194.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/21/2019|0|0|13093|3548|16641|17269|0|0|0|5387871999.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/22/2019|0|0|28733|6701|35434|36910|0|0|0|20439503315.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/23/2019|0|0|25237|4925|30162|31243|0|0|0|20005288340.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/24/2019|0|0|23037|4311|27348|28242|0|0|0|12816794189.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/25/2019|0|0|29487|6548|36035|37186|0|0|0|15941933059.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/26/2019|0|0|29535|6240|35775|37075|0|0|0|21299784028.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/27/2019|0|0|21517|3587|25104|25976|0|0|0|8126061348.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/28/2019|0|0|13678|2439|16117|16703|0|0|0|5931547157.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/29/2019|0|0|33300|5961|39261|40602|0|0|0|16794290791.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|04/30/2019|0|0|41035|7877|48912|50601|0|0|0|18612910231.00|0.00|0.00|APR2019|2019-04
TRANSAKSI ATM DAN ATMKIOS BCA|05/01/2019|0|0|22168|4571|26739|27642|0|0|0|8948277253.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/02/2019|0|0|33939|8474|42413|43809|0|0|0|19818304026.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/03/2019|0|0|33624|8181|41805|43308|0|0|0|18577858373.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/04/2019|0|0|23323|5139|28462|29379|0|0|0|9518254732.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/05/2019|0|0|16704|4460|21164|21857|0|0|0|7127896284.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/06/2019|0|0|31069|10203|41272|42702|0|0|0|19793628867.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/07/2019|0|0|27589|9026|36615|37730|0|0|0|18172230311.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/08/2019|0|0|26098|6969|33067|34034|0|0|0|14265917100.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/09/2019|0|0|23852|6423|30275|31259|0|0|0|14392303858.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/10/2019|0|0|27085|7214|34299|35480|0|0|0|15237539616.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/11/2019|0|0|19831|3997|23828|24622|0|0|0|6795441941.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/12/2019|0|0|13575|2720|16295|16904|0|0|0|4263163697.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/13/2019|0|0|27093|6533|33626|34729|0|0|0|12108536078.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/14/2019|0|0|25127|6061|31188|32151|0|0|0|13268950066.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/15/2019|0|0|24757|6108|30865|31882|0|0|0|13623435969.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/16/2019|0|0|23818|5739|29557|30431|0|0|0|12962105685.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/17/2019|0|0|26609|6393|33002|34085|0|0|0|18165983252.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/18/2019|0|0|20414|4454|24868|25689|0|0|0|8449266232.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/19/2019|0|0|14250|3621|17871|18487|0|0|0|6529078281.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/20/2019|0|0|30338|11258|41596|42977|0|0|0|28299249968.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/21/2019|0|0|26378|6327|32705|33814|0|0|0|17666227723.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/22/2019|0|0|25883|4829|30712|31900|0|0|0|14566572724.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/23/2019|0|0|27633|4774|32407|33451|0|0|0|18097441903.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/24/2019|0|0|36351|6715|43066|44650|0|0|0|20741488810.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/25/2019|0|0|27174|4070|31244|32259|0|0|0|9961681304.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/26/2019|0|0|17439|2866|20305|20989|0|0|0|6662674545.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/27/2019|0|0|36951|6826|43777|45333|0|0|0|24963203444.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/28/2019|0|0|39563|6841|46404|48111|0|0|0|25423232574.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/29/2019|0|0|41893|7236|49129|50970|0|0|0|23417266739.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/30/2019|0|0|25351|3934|29285|30222|0|0|0|9592822615.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|05/31/2019|0|0|40101|7168|47269|49188|0|0|0|24569362984.00|0.00|0.00|MAY2019|2019-05
TRANSAKSI ATM DAN ATMKIOS BCA|06/01/2019|0|0|26049|4778|30827|31956|0|0|0|10670217786.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/02/2019|0|0|19858|3659|23517|24316|0|0|0|6525973651.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/03/2019|0|0|25124|5507|30631|31666|0|0|0|10048896026.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/04/2019|0|0|17683|4145|21828|22559|0|0|0|7750952127.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/05/2019|0|0|6795|1791|8586|8889|0|0|0|2909662453.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/06/2019|0|0|7494|2273|9767|10183|0|0|0|3743904366.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/07/2019|0|0|9100|3165|12265|12642|0|0|0|4663968001.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/08/2019|0|0|10265|3346|13611|14089|0|0|0|5267162175.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/09/2019|0|0|10823|3535|14358|14837|0|0|0|4909843515.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/10/2019|0|0|25596|10472|36068|37367|0|0|0|17429180498.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/11/2019|0|0|21992|7651|29643|30650|0|0|0|14631215375.00|0.00|0.00|JUN2019|2019-06
TRANSAKSI ATM DAN ATMKIOS BCA|06/12/2019|0|0|20866|6388|27254|28193|0|0|0|10922914058.00|0.00|0.00|JUN2019|2019-06
